"region3","region1","X36081","X36047","X36061","X36005","X36085","X36081b","X36047b","X36061b","X36005b","X36085b"
"Turkey","Asia",0.00297274776287253,0.00341935434863524,0.00535941004463595,0.000632928499351305,0.00837333000893432,3143,3151,2423,281,806
"Armenia","Asia",0.000759502530571632,0.000661950540357822,0.000207917682292934,7.20772668300418e-05,0.000540214839286085,803,610,94,32,52
"Other Western Asia","Asia",0.00262657350858957,0.00606390101560576,0.00202830334747468,0.000646442986881937,0.00276340667788651,2777,5588,917,287,266
"Asian.e.c.","Asia",0.000543852995116673,0.00105043954601045,0.000320724084388036,0.00086717961654894,0.0028465166531613,575,968,145,385,274
"Eritrea","Africa",6.99915158932762e-05,7.92170318788869e-05,0.000203493901818616,0.000950518956321176,0,74,73,92,422,0
"Ethiopia","Africa",0.000542907163820818,0.000198585162107347,0.00225391615166489,0.00118251765893037,0.000155831203640217,574,183,1019,525,15
"Kenya","Africa",0.000356578398537366,0.000173626371241396,0.00094005335079252,0.000110368314833502,0.0016518107585863,377,160,425,49,159
"Other Eastern Africa","Africa",0.000923131344754561,0.000770467022383695,0.00257242834581577,0.00088745134784489,0.000176608697458913,976,710,1163,394,17
"Cameroon","Africa",5.58040464554499e-05,4.55769224508665e-05,0.000360538108656896,0.000337862188265821,0,59,42,163,150,0
"Other Middle Africa","Africa",0.000290370207827511,0.000446002741126336,0.00155495883672269,0.00093
